DATE,MinTemp,MaxTemp,AvgTemp
3/30/2016,42,60,51
3/31/2016,44,59,52
04-01-2016,42,57,50
04-02-2016,41,59,50
04-03-2016,42,62,52
04-04-2016,47,60,54
04-05-2016,44,61,53
04-06-2016,40,59,50
04-07-2016,36,60,48
04-08-2016,38,54,46
04-09-2016,40,56,48
04-10-2016,40,54,47
04-11-2016,41,60,51
04-12-2016,41,59,50
4/13/2016,39,59,49
4/14/2016,41,57,49
4/15/2016,36,53,45
4/16/2016,36,51,44
4/17/2016,36,53,45
4/18/2016,37,58,48
4/19/2016,38,54,46
4/20/2016,,,
4/21/2016,44,55,50
4/22/2016,44,56,50
4/23/2016,43,57,50
4/24/2016,42,59,51
4/25/2016,40,55,48
4/26/2016,42,57,50
4/27/2016,40,61,51
4/28/2016,43,57,50
4/29/2016,44,61,53
4/30/2016,39,57,48
05-01-2016,38,60,49
05-02-2016,45,63,54
05-03-2016,43,60,52
05-04-2016,44,65,55
05-05-2016,44,58,51
05-06-2016,41,56,49
05-07-2016,38,55,47
05-08-2016,40,53,47
05-09-2016,36,52,44
05-10-2016,34,52,43
05-11-2016,36,54,45
05-12-2016,37,53,45
5/13/2016,38,50,44
5/14/2016,39,61,50
5/15/2016,44,59,52
5/16/2016,43,60,52
5/17/2016,43,60,52
5/18/2016,43,58,51
5/19/2016,40,61,51
5/20/2016,41,57,49
5/21/2016,40,58,49
5/22/2016,38,56,47
5/23/2016,36,51,44
5/24/2016,33,51,42
5/25/2016,36,49,43
5/26/2016,36,52,44
5/27/2016,35,52,44
5/28/2016,39,51,45
5/29/2016,39,53,46
5/30/2016,38,55,47
5/31/2016,44,54,49
06-01-2016,41,54,48
06-02-2016,40,58,49
06-03-2016,41,56,49
06-04-2016,44,60,52
06-05-2016,45,58,52
06-06-2016,44,57,51
06-07-2016,44,59,52
06-08-2016,45,58,52
06-09-2016,46,60,53
06-10-2016,44,61,53
06-11-2016,40,54,47
06-12-2016,40,58,49
6/13/2016,40,58,49
6/14/2016,38,57,48
6/15/2016,40,55,48
6/16/2016,42,61,52
6/17/2016,46,60,53
6/18/2016,41,60,51
6/19/2016,42,60,51
6/20/2016,41,57,49
6/21/2016,39,56,48
6/22/2016,40,56,48
6/23/2016,42,56,49
6/24/2016,42,58,50
6/25/2016,43,56,50
6/26/2016,41,55,48
6/27/2016,37,53,45
6/28/2016,39,53,46
6/29/2016,38,54,46
6/30/2016,43,58,51
07-01-2016,39,57,48
07-02-2016,43,63,53
07-03-2016,45,67,56
07-04-2016,44,58,51
07-05-2016,40,54,47
07-06-2016,38,56,47
07-07-2016,43,61,52
07-08-2016,43,60,52
07-09-2016,42,56,49
07-10-2016,39,51,45
07-11-2016,36,50,43
07-12-2016,38,52,45
7/13/2016,36,54,45
7/14/2016,39,56,48
7/15/2016,42,57,50
7/16/2016,39,57,48
7/17/2016,40,54,47
7/18/2016,39,49,44
7/19/2016,38,52,45
7/20/2016,40,55,48
7/21/2016,41,62,52
7/22/2016,40,57,49
7/23/2016,43,52,48
7/24/2016,44,51,48
7/25/2016,42,58,50
7/26/2016,41,59,50
7/27/2016,39,57,48
7/28/2016,38,59,49
7/29/2016,37,58,48
7/30/2016,39,57,48
7/31/2016,41,55,48
08-01-2016,42,56,49
08-02-2016,40,58,49
08-03-2016,37,57,47
08-04-2016,40,58,49
08-05-2016,41,62,52
08-06-2016,37,59,48
08-07-2016,40,58,49
08-08-2016,42,60,51
08-09-2016,40,60,50
08-10-2016,42,62,52
08-11-2016,42,60,51
08-12-2016,44,61,53
8/13/2016,41,54,48
8/14/2016,42,53,48
8/15/2016,40,56,48
8/16/2016,39,56,48
8/17/2016,40,60,50
8/18/2016,42,59,51
8/19/2016,43,57,50
8/20/2016,37,59,48
8/21/2016,40,54,47
8/22/2016,44,49,47
8/23/2016,42,53,48
8/24/2016,41,53,47
8/25/2016,41,54,48
8/26/2016,41,58,50
8/27/2016,38,54,46
8/28/2016,35,53,44
8/29/2016,38,50,44
8/30/2016,37,58,48
8/31/2016,42,49,46
09-01-2016,40,54,47
09-02-2016,41,59,50
09-03-2016,41,52,47
09-04-2016,41,52,47
09-05-2016,40,55,48
09-06-2016,39,59,49
09-07-2016,37,55,46
09-08-2016,36,52,44
09-09-2016,38,55,47
09-10-2016,39,56,48
09-11-2016,37,56,47
09-12-2016,42,57,50
9/13/2016,42,57,50
9/14/2016,39,52,46
9/15/2016,38,46,42
9/16/2016,39,54,47
9/17/2016,42,55,49
9/18/2016,41,57,49
9/19/2016,42,60,51
9/20/2016,42,59,51
9/21/2016,44,59,52
9/22/2016,41,55,48
9/23/2016,40,55,48
9/24/2016,40,54,47
9/25/2016,38,55,47
9/26/2016,41,58,50
9/27/2016,37,50,44
9/28/2016,36,53,45
9/29/2016,36,59,48
9/30/2016,39,58,49
10-01-2016,39,56,48
10-02-2016,37,55,46
10-03-2016,38,49,44
10-04-2016,40,51,46
10-05-2016,37,53,45
10-06-2016,38,50,44
10-07-2016,36,52,44
10-08-2016,38,52,45
10-09-2016,35,55,45
10-10-2016,41,56,49
10-11-2016,40,56,48
10-12-2016,38,63,51
10/13/2016,42,62,52
10/14/2016,45,63,54
10/15/2016,45,64,55
10/16/2016,40,58,49
10/17/2016,39,58,49
10/18/2016,40,56,48
10/19/2016,39,57,48
10/20/2016,38,51,45
10/21/2016,38,55,47
10/22/2016,37,56,47
10/23/2016,42,62,52
10/24/2016,42,61,52
10/25/2016,38,56,47
10/26/2016,40,59,50
10/27/2016,40,58,49
10/28/2016,41,55,48
10/29/2016,38,54,46
10/30/2016,39,55,47
10/31/2016,40,56,48
11-01-2016,42,55,49
11-02-2016,38,58,48
11-03-2016,42,59,51
11-04-2016,40,58,49
11-05-2016,41,58,50
11-06-2016,38,59,49
11-07-2016,38,56,47
11-08-2016,38,53,46
11-09-2016,41,54,48
11-10-2016,43,54,49
11-11-2016,40,54,47
11-12-2016,36,54,45
11/13/2016,38,57,48
11/14/2016,41,57,49
11/15/2016,40,56,48
11/16/2016,41,54,48
11/17/2016,40,56,48
11/18/2016,40,57,49
11/19/2016,41,58,50
11/20/2016,41,54,48
11/21/2016,38,53,46
11/22/2016,36,52,44
11/23/2016,41,57,49
11/24/2016,39,55,47
11/25/2016,39,56,48
11/26/2016,42,57,50
11/27/2016,41,56,49
11/28/2016,38,54,46
11/29/2016,38,52,45
11/30/2016,34,46,40
12-01-2016,31,37,34
12-02-2016,32,38,35
12-03-2016,35,44,40
12-04-2016,37,44,41
